,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
468,RV,<,NR,Tulsa,AAC,6-2,3,RV,W 59-30 A Memphis,Week 9Oct 30[10],2016,0.0,NR
469,NR,<,22,Navy,AAC,5-2,0,RV,L 52-45 A South Florida,Week 9Oct 30[10],2016,-2.0,NR
470,NR,<,NR,Appalachian State,Sun Belt,6-2,0,RV,W 34-10 A Georgia Southern,Week 9Oct 30[10],2016,0.0,NR
471,NR,<,NR,Louisiana Tech,CUSA,6-3,0,RV,W 61-16 H Rice,Week 9Oct 30[10],2016,0.0,NR
472,NR,<,NR,Middle Tennessee,CUSA,6-2,0,RV,W 42-35 A FIU,Week 9Oct 30[10],2016,0.0,NR
473,NR,<,NR,Minnesota,Big Ten,6-2,0,RV,W 40-17 A Illinois,Week 9Oct 30[10],2016,0.0,NR
474,NR,<,NR,Mississippi,SEC,3-5,0,RV,L 40-29 H #15 Auburn,Week 9Oct 30[10],2016,-3.0,NR
475,NR,<,NR,Northwestern,Big Ten,4-4,0,RV,L 24-20 A #6 Ohio State,Week 9Oct 30[10],2016,0.0,NR
476,NR,<,NR,Pittsburgh,ACC,5-3,0,RV,L 39-36 H #25 Virginia Tech,Week 9Oct 30[10],2016,0.0,NR
477,1,<,1,Alabama (60),SEC,9-0,1524,*1,W 10-0 A #15 LSU,Week 10Nov 6[11],2016,0.0,1
478,2,<,2,Michigan (1),Big Ten,9-0,1432,3,W 59-3 H Maryland,Week 10Nov 6[11],2016,0.0,3
479,3,<,3,Clemson,ACC,9-0,1408,*2,W 54-0 H Syracuse,Week 10Nov 6[11],2016,0.0,2
480,4,<,4,Washington,Pac-12,9-0,1364,4,W 66-27 A California,Week 10Nov 6[11],2016,0.0,4
481,5,<,5,Louisville,ACC,8-1,1255,6,W 52-7 A Boston College,Week 10Nov 6[11],2016,0.0,6
482,6,<,6,Ohio State,Big Ten,8-1,1245,5,W 62-3 H #9 Nebraska,Week 10Nov 6[11],2016,0.0,5
483,7,<,8,Wisconsin,Big Ten,7-2,1159,7,W 21-7 A Northwestern,Week 10Nov 6[11],2016,4.0,7
484,8,<,11,Auburn,SEC,7-2,1081,8,W 23-16 H Vanderbilt,Week 10Nov 6[11],2016,7.0,9
485,9,<,12,Oklahoma,Big 12,7-2,996,9,W 34-24 A Iowa State,Week 10Nov 6[11],2016,7.0,11
486,10,<,7,Texas A&M,SEC,7-2,820,11,L 35-28 A Mississippi State,Week 10Nov 6[11],2016,-1.0,8
487,11,<,14,West Virginia,Big 12,7-1,805,10,W 48-21 H Kansas,Week 10Nov 6[11],2016,-1.0,16
488,12,<,20,Penn State,Big Ten,7-2,752,14,W 41-14 H Iowa,Week 10Nov 6[11],2016,12.0,10
489,13,<,16,Utah,Pac-12,7-2,686,12,DNP,Week 10Nov 6[11],2016,4.0,15
490,14,<,17,Western Michigan,MAC,9-0,583,21,W 52-20 A Ball State,Week 10Nov 6[11],2016,6.0,21
491,15,<,18,North Carolina,ACC,7-2,559,13,W 48-20 H Georgia Tech,Week 10Nov 6[11],2016,6.0,17
492,16,<,21,Colorado,Pac-12,7-2,550,15,W 20-10 H UCLA,Week 10Nov 6[11],2016,7.0,12
493,17,<,22,Oklahoma State,Big 12,7-2,516,17,W 43-37 A Kansas State,Week 10Nov 6[11],2016,9.0,13
494,18,<,23,Virginia Tech,ACC,7-2,479,22,W 24-21 A Duke,Week 10Nov 6[11],2016,7.0,14
495,19,<,15,LSU,SEC,5-3,454,19,L 10-0 H #1 Alabama,Week 10Nov 6[11],2016,0.0,24
496,20,<,19,Florida State,ACC,6-3,450,18,W 24-20 A NC State,Week 10Nov 6[11],2016,-8.0,18
497,21,<,9,Nebraska,Big Ten,7-2,434,20,L 62-3 A #6 Ohio State,Week 10Nov 6[11],2016,-14.0,19
498,22,<,10,Florida,SEC,6-2,390,16,L 31-10 A Arkansas,Week 10Nov 6[11],2016,-8.0,NR
499,23,<,25,Washington State,Pac-12,7-2,305,23,W 69-7 H Arizona,Week 10Nov 6[11],2016,3.0,23
500,24,<,24,Boise State,MWC,8-1,226,24,W 45-31 H San Jose State,Week 10Nov 6[11],2016,-11.0,22
501,25,<,13,Baylor,Big 12,6-2,90,25,L 62-22 H TCU,Week 10Nov 6[11],2016,-17.0,NR
502,RV,<,NR,USC,Pac-12,6-3,76,RV,W 45-20 H Oregon,Week 10Nov 6[11],2016,0.0,20
503,RV,<,NR,Arkansas,SEC,6-3,74,RV,W 31-10 H #10 Florida,Week 10Nov 6[11],2016,0.0,25
504,RV,<,NR,San Diego State,MWC,8-1,38,RV,W 55-0 H Hawaii,Week 10Nov 6[11],2016,0.0,NR
505,RV,<,NR,Troy,Sun Belt,7-1,28,RV,W 52-31 H Massachusetts,Week 10Nov 6[11],2016,0.0,NR
506,RV,<,NR,Houston,AAC,7-2,25,RV,DNP,Week 10Nov 6[11],2016,0.0,NR
507,RV,<,NR,Tennessee,SEC,6-3,9,RV,W 55-0 H Tennessee Tech,Week 10Nov 6[11],2016,-8.0,NR
508,RV,<,NR,South Florida,AAC,7-2,3,RV,DNP,Week 10Nov 6[11],2016,0.0,NR
509,RV,<,NR,Tulsa,AAC,7-2,3,RV,W 45-24 H East Carolina,Week 10Nov 6[11],2016,0.0,NR
510,RV,<,NR,Minnesota,Big Ten,7-2,2,RV,W 44-31 H Purdue,Week 10Nov 6[11],2016,0.0,NR
511,RV,<,NR,Navy,AAC,6-2,2,RV,W 28-27 A Notre Dame,Week 10Nov 6[11],2016,-4.0,NR
512,RV,<,NR,Wyoming,MWC,7-2,2,RV,W 52-28 H Utah State,Week 10Nov 6[11],2016,0.0,NR
513,NR,<,NR,Appalachian State,Sun Belt,7-2,0,RV,W 35-10 H Texas State,Week 10Nov 6[11],2016,0.0,NR
514,NR,<,NR,Louisiana Tech,CUSA,7-3,0,RV,W 45-24 A North Texas,Week 10Nov 6[11],2016,0.0,NR
515,NR,<,NR,Stanford,Pac-12,6-3,0,RV,W 26-15 H Oregon State,Week 10Nov 6[11],2016,0.0,NR
516,1,<,1,Alabama (61),SEC,10-0,1525,1,W 51-3 H Mississippi State,Week 11Nov 13[12],2016,0.0,1
517,2,<,6,Ohio State,Big Ten,9-1,1455,2,W 62-3 A Maryland,Week 11Nov 13[12],2016,4.0,2
518,3,<,5,Louisville,ACC,9-1,1357,3,W 44-12 H Wake Forest,Week 11Nov 13[12],2016,2.0,5
519,4,<,2,Michigan,Big Ten,9-1,1323,4,L 14-13 A Iowa,Week 11Nov 13[12],2016,-2.0,3
520,5,<,3,Clemson,ACC,9-1,1304,5,L 43-42 H Pittsburgh,Week 11Nov 13[12],2016,-2.0,4
521,6,<,7,Wisconsin,Big Ten,8-2,1214,6,W 48-3 H Illinois,Week 11Nov 13[12],2016,2.0,7
522,7,<,4,Washington,Pac-12,9-1,1150,7,L 26-13 H USC,Week 11Nov 13[12],2016,-3.0,6
523,8,<,9,Oklahoma,Big 12,8-2,1064,8,W 45-24 H #25 Baylor,Week 11Nov 13[12],2016,4.0,9
524,9,<,12,Penn State,Big Ten,8-2,961,10,W 45-31 A Indiana,Week 11Nov 13[12],2016,11.0,8
525,10,<,11,West Virginia,Big 12,8-1,920,9,W 24-20 A Texas,Week 11Nov 13[12],2016,4.0,14
526,11,<,13,Utah,Pac-12,8-2,807,11,W 49-26 A Arizona State,Week 11Nov 13[12],2016,5.0,12
527,12,<,16,Colorado,Pac-12,8-2,797,12,W 49-24 A Arizona,Week 11Nov 13[12],2016,9.0,10
528,13,<,17,Oklahoma State,Big 12,8-2,659,13,W 45-44 H Texas Tech,Week 11Nov 13[12],2016,9.0,11
529,14,<,14,Western Michigan,MAC,10-0,634,21,W 37-21 A Kent State,Week 11Nov 13[12],2016,3.0,21
530,15,<,NR,USC,Pac-12,7-3,584,19,W 26-13 A #4 Washington,Week 11Nov 13[12],2016,11.0,13
531,16,<,19,LSU,SEC,6-3,582,14,W 38-10 A Arkansas,Week 11Nov 13[12],2016,-1.0,16
532,17,<,20,Florida State,ACC,7-3,569,15,W 45-7 H Boston College,Week 11Nov 13[12],2016,2.0,17
533,18,<,8,Auburn,SEC,7-3,543,16,L 13-7 A Georgia,Week 11Nov 13[12],2016,-7.0,15
534,19,<,21,Nebraska,Big Ten,8-2,504,17,W 24-17 H Minnesota,Week 11Nov 13[12],2016,-10.0,18
535,20,<,23,Washington State,Pac-12,8-2,501,20,W 56-21 H California,Week 11Nov 13[12],2016,5.0,22
536,21,<,22,Florida,SEC,7-2,435,18,W 20-7 H South Carolina,Week 11Nov 13[12],2016,-11.0,23
537,22,<,24,Boise State,MWC,9-1,315,23,W 52-16 A Hawaii,Week 11Nov 13[12],2016,2.0,20
538,23,<,10,Texas A&M,SEC,7-3,238,22,L 29-28 H Mississippi,Week 11Nov 13[12],2016,-16.0,25
539,24,<,NR,San Diego State,MWC,9-1,97,25,W 46-16 A Nevada,Week 11Nov 13[12],2016,2.0,NR
540,25,<,NR,Troy,Sun Belt,8-1,63,RV,W 28-24 H Appalachian State,Week 11Nov 13[12],2016,1.0,NR
541,RV,<,NR,Houston,AAC,8-2,49,RV,W 30-18 H Tulane,Week 11Nov 13[12],2016,0.0,NR
542,RV,<,15,North Carolina,ACC,7-3,40,24,L 28-27 A Duke,Week 11Nov 13[12],2016,-8.0,NR
543,RV,<,18,Virginia Tech,ACC,7-3,36,RV,L 30-20 H Georgia Tech,Week 11Nov 13[12],2016,-3.0,NR
544,RV,<,NR,Tennessee,SEC,7-3,21,RV,W 49-36 H Kentucky,Week 11Nov 13[12],2016,0.0,19
545,RV,<,NR,Navy,AAC,7-2,20,RV,W 42-40 H Tulsa,Week 11Nov 13[12],2016,0.0,NR
546,RV,<,NR,Stanford,Pac-12,7-3,16,RV,W 52-27 A Oregon,Week 11Nov 13[12],2016,0.0,24
547,RV,<,NR,Western Kentucky,CUSA,8-3,11,NR,W 45-7 H North Texas,Week 11Nov 13[12],2016,0.0,NR
548,RV,<,NR,Pittsburgh,ACC,6-4,9,RV,W 43-42 A #3 Clemson,Week 11Nov 13[12],2016,0.0,NR
549,RV,<,NR,South Florida,AAC,8-2,8,RV,W 49-42 A Memphis,Week 11Nov 13[12],2016,0.0,NR
550,RV,<,NR,Arkansas,SEC,6-4,7,RV,L 38-10 H #19 LSU,Week 11Nov 13[12],2016,0.0,NR
551,RV,<,NR,Iowa,Big Ten,6-4,4,RV,W 14-13 H #2 Michigan,Week 11Nov 13[12],2016,0.0,NR
552,RV,<,NR,Mississippi,SEC,5-5,2,NR,W 29-28 A #10 Texas A&M,Week 11Nov 13[12],2016,0.0,NR
553,RV,<,NR,Minnesota,Big Ten,7-3,1,NR,L 24-17 A #21 Nebraska,Week 11Nov 13[12],2016,0.0,NR
554,NR,<,25,Baylor,Big 12,6-3,0,RV,L 45-24 A #9 Oklahoma,Week 11Nov 13[12],2016,-13.0,NR
555,NR,<,NR,Toledo,MAC,8-2,0,RV,W 31-24 A Northern Illinois,Week 11Nov 13[12],2016,0.0,NR
556,1,<,1,Alabama (61),SEC,11-0,1525,*1,W 31-3 H Chattanooga,Week 12Nov 20[13],2016,0.0,1
557,2,<,2,Ohio State,Big Ten,10-1,1455,2,W 17-16 A Michigan State,Week 12Nov 20[13],2016,4.0,2
558,3,<,4,Michigan,Big Ten,10-1,1370,4,W 20-10 H Indiana,Week 12Nov 20[13],2016,-1.0,3
559,4,<,5,Clemson,ACC,10-1,1347,3,W 35-13 A Wake Forest,Week 12Nov 20[13],2016,-1.0,4
560,5,<,6,Wisconsin,Big Ten,9-2,1255,6,W 49-20 A Purdue,Week 12Nov 20[13],2016,2.0,6
561,6,<,7,Washington,Pac-12,10-1,1220,5,W 44-18 H Arizona State,Week 12Nov 20[13],2016,-2.0,5
562,7,<,8,Oklahoma,Big 12,9-2,1169,7,W 56-28 A #10 West Virginia,Week 12Nov 20[13],2016,2.0,8
563,8,<,9,Penn State,Big Ten,9-2,1091,8,W 39-0 A Rutgers,Week 12Nov 20[13],2016,4.0,7
564,9,<,12,Colorado,Pac-12,9-2,997,9,W 38-24 H #20 Washington State,Week 12Nov 20[13],2016,7.0,9
565,10,<,13,Oklahoma State,Big 12,9-2,868,10,W 31-6 A TCU,Week 12Nov 20[13],2016,7.0,10
566,11,<,3,Louisville,ACC,9-2,830,11,L 36-10 A Houston,Week 12Nov 20[13],2016,-6.0,11
567,12,<,15,USC,Pac-12,8-3,811,12,W 36-14 A UCLA,Week 12Nov 20[13],2016,14.0,12
568,13,<,21,Florida,SEC,8-2,703,13,W 16-10 A #16 LSU,Week 12Nov 20[13],2016,9.0,15
569,14,<,14,Western Michigan,MAC,11-0,701,18,W 38-0 H Buffalo,Week 12Nov 20[13],2016,0.0,21
570,15,<,17,Florida State,ACC,8-3,661,14,W 45-14 A Syracuse,Week 12Nov 20[13],2016,5.0,14
571,16,<,18,Auburn,SEC,8-3,613,16,W 55-0 H Alabama A&M,Week 12Nov 20[13],2016,-8.0,13
572,17,<,19,Nebraska,Big Ten,9-2,593,15,W 28-7 H Maryland,Week 12Nov 20[13],2016,4.0,16
573,18,<,NR,Houston,AAC,9-2,490,21,W 36-10 H #3 Louisville,Week 12Nov 20[13],2016,8.0,20
574,19,<,10,West Virginia,Big 12,8-2,448,17,L 56-28 H #8 Oklahoma,Week 12Nov 20[13],2016,-8.0,18
575,20,<,22,Boise State,MWC,10-1,389,19,W 42-25 H UNLV,Week 12Nov 20[13],2016,4.0,19
576,21,<,11,Utah,Pac-12,8-3,280,20,L 30-28 H Oregon,Week 12Nov 20[13],2016,-8.0,22
577,22,<,23,Texas A&M,SEC,8-3,253,22,W 23-10 H UTSA,Week 12Nov 20[13],2016,-12.0,NR
578,23,<,20,Washington State,Pac-12,8-3,186,23,L 38-24 A #12 Colorado,Week 12Nov 20[13],2016,0.0,23
579,24,<,NR,Tennessee,SEC,8-3,133,24,W 63-37 H Missouri,Week 12Nov 20[13],2016,2.0,17
580,25,<,16,LSU,SEC,6-4,84,RV,L 16-10 H #21 Florida,Week 12Nov 20[13],2016,-6.0,NR
581,RV,<,NR,Stanford,Pac-12,8-3,81,RV,W 45-31 A California,Week 12Nov 20[13],2016,0.0,24
582,RV,<,NR,Virginia Tech,ACC,8-3,77,RV,W 34-31 A Notre Dame,Week 12Nov 20[13],2016,-8.0,NR
583,RV,<,NR,Navy,AAC,8-2,62,RV,W 66-31 A East Carolina,Week 12Nov 20[13],2016,0.0,25
584,RV,<,NR,North Carolina,ACC,8-3,55,25,W 41-7 H Citadel,Week 12Nov 20[13],2016,-11.0,NR
585,RV,<,NR,Pittsburgh,ACC,7-4,24,RV,W 56-14 H Duke,Week 12Nov 20[13],2016,0.0,NR
586,RV,<,NR,South Florida,AAC,9-2,24,RV,W 35-27 A SMU,Week 12Nov 20[13],2016,0.0,NR
587,RV,<,NR,Arkansas,SEC,7-4,10,RV,W 58-42 A Mississippi State,Week 12Nov 20[13],2016,0.0,NR
588,RV,<,NR,Iowa,Big Ten,7-4,7,RV,W 28-0 A Illinois,Week 12Nov 20[13],2016,0.0,NR
589,RV,<,25,Troy,Sun Belt,8-2,6,NR,L 35-3 H Arkansas State,Week 12Nov 20[13],2016,0.0,NR
590,RV,<,NR,Minnesota,Big Ten,8-3,5,RV,W 29-12 H Northwestern,Week 12Nov 20[13],2016,0.0,NR
591,RV,<,NR,Temple,AAC,8-3,1,NR,W 31-0 A Tulane,Week 12Nov 20[13],2016,0.0,NR
592,RV,<,NR,Wyoming,MWC,8-3,1,RV,W 34-33 H #24 San Diego State,Week 12Nov 20[13],2016,0.0,NR
593,NR,<,24,San Diego State,MWC,9-2,0,RV,L 34-33 A Wyoming,Week 12Nov 20[13],2016,0.0,NR
594,NR,<,NR,Miami (FL),ACC,7-4,0,RV,W 27-13 A NC State,Week 12Nov 20[13],2016,0.0,NR
595,NR,<,NR,Tulsa,AAC,8-3,0,RV,W 35-20 A UCF,Week 12Nov 20[13],2016,0.0,NR
596,1,<,1,Alabama (61),SEC,12-0,1525,*1,W 30-12 H #16 Auburn,Week 13Nov 27[14],2016,0.0,1
597,2,<,2,Ohio State,Big Ten,11-1,1456,2,W 30-27 (2OT) H #3 Michigan,Week 13Nov 27[14],2016,0.0,2
598,3,<,4,Clemson,ACC,11-1,1383,3,W 56-7 H South Carolina,Week 13Nov 27[14],2016,2.0,3
599,4,<,6,Washington,Pac-12,11-1,1298,4,W 45-17 A #23 Washington State,Week 13Nov 27[14],2016,3.0,4
600,5,<,3,Michigan,Big Ten,10-2,1264,6,L 30-27 (2OT) A #2 Ohio State,Week 13Nov 27[14],2016,-4.0,5
601,6,<,5,Wisconsin,Big Ten,10-2,1237,5,W 31-17 H Minnesota,Week 13Nov 27[14],2016,0.0,6
602,7,<,7,Oklahoma,Big 12,9-2,1141,7,DNP,Week 13Nov 27[14],2016,1.0,9
603,8,<,8,Penn State,Big Ten,10-2,1118,8,W 45-12 H Michigan State,Week 13Nov 27[14],2016,1.0,7
604,9,<,9,Colorado,Pac-12,10-2,1035,9,W 27-22 H #21 Utah,Week 13Nov 27[14],2016,3.0,8
605,10,<,12,USC,Pac-12,9-3,948,11,W 45-27 H Notre Dame,Week 13Nov 27[14],2016,5.0,11
606,11,<,10,Oklahoma State,Big 12,9-2,931,10,DNP,Week 13Nov 27[14],2016,2.0,10
607,12,<,15,Florida State,ACC,9-3,847,12,W 31-13 H #13 Florida,Week 13Nov 27[14],2016,5.0,12
608,13,<,14,Western Michigan,MAC,12-0,807,14,W 55-35 H Toledo,Week 13Nov 27[14],2016,1.0,17
609,14,<,19,West Virginia,Big 12,9-2,726,13,W 49-19 A Iowa State,Week 13Nov 27[14],2016,-4.0,16
610,15,<,13,Florida,SEC,8-3,471,16,L 31-13 A #15 Florida State,Week 13Nov 27[14],2016,6.0,15
611,16,<,11,Louisville,ACC,9-3,468,15,L 41-38 H Kentucky,Week 13Nov 27[14],2016,-13.0,13
612,17,<,NR,Stanford,Pac-12,9-3,452,17,W 41-17 H Rice,Week 13Nov 27[14],2016,9.0,18
613,18,<,16,Auburn,SEC,8-4,423,19,L 30-12 A #1 Alabama,Week 13Nov 27[14],2016,0.0,14
614,19,<,NR,Virginia Tech,ACC,9-3,420,18,W 52-10 H Virginia,Week 13Nov 27[14],2016,7.0,23
615,20,<,NR,Navy,AAC,9-2,387,20,W 75-31 A SMU,Week 13Nov 27[14],2016,6.0,19
616,21,<,25,LSU,SEC,7-4,338,21,W 54-39 A #22 Texas A&M,Week 13Nov 27[14],2016,-5.0,21
617,22,<,NR,Iowa,Big Ten,8-4,217,25,W 40-10 H #17 Nebraska,Week 13Nov 27[14],2016,4.0,NR
618,23,<,17,Nebraska,Big Ten,9-3,181,22,L 40-10 A Iowa,Week 13Nov 27[14],2016,-4.0,NR
619,24,<,NR,Pittsburgh,ACC,8-4,168,RV,W 76-61 H Syracuse,Week 13Nov 27[14],2016,2.0,25
620,24,<,NR,South Florida,AAC,10-2,168,23,W 48-31 H UCF,Week 13Nov 27[14],2016,2.0,NR
621,RV,<,18,Houston,AAC,9-3,98,RV,L 48-44 A Memphis,Week 13Nov 27[14],2016,0.0,24
622,RV,<,20,Boise State,MWC,10-2,92,RV,L 27-20 A Air Force,Week 13Nov 27[14],2016,-4.0,NR
623,RV,<,21,Utah,Pac-12,8-4,88,24,L 27-22 A #9 Colorado,Week 13Nov 27[14],2016,-15.0,20
624,RV,<,23,Washington State,Pac-12,8-4,35,RV,L 45-17 H #6 Washington,Week 13Nov 27[14],2016,-6.0,NR
625,RV,<,22,Texas A&M,SEC,8-4,33,RV,L 54-39 H #25 LSU,Week 13Nov 27[14],2016,-3.0,NR
626,RV,<,NR,Air Force,MWC,9-3,22,RV,W 27-20 H #20 Boise State,Week 13Nov 27[14],2016,0.0,NR
627,RV,<,NR,Temple,AAC,9-3,21,RV,W 37-10 H East Carolina,Week 13Nov 27[14],2016,0.0,NR
628,RV,<,24,Tennessee,SEC,8-4,12,RV,L 45-34 A Vanderbilt,Week 13Nov 27[14],2016,0.0,22
629,RV,<,NR,Troy,Sun Belt,9-2,7,RV,W 40-7 A Texas State,Week 13Nov 27[14],2016,-1.0,NR
630,RV,<,NR,Miami (FL),ACC,8-4,5,RV,W 40-21 H Duke,Week 13Nov 27[14],2016,0.0,NR
631,RV,<,NR,Georgia Tech,ACC,8-4,2,RV,W 28-27 A Georgia,Week 13Nov 27[14],2016,0.0,NR
632,RV,<,NR,Tulsa,AAC,9-3,1,RV,W 40-37 (1OT) H Cincinnati,Week 13Nov 27[14],2016,0.0,NR
633,NR,<,NR,Appalachian State,Sun Belt,9-3,0,RV,W 37-7 A New Mexico State,Week 13Nov 27[14],2016,0.0,NR
634,NR,<,NR,Middle Tennessee,CUSA,8-4,0,RV,W 77-56 H Florida Atlantic,Week 13Nov 27[14],2016,0.0,NR
635,NR,<,NR,Minnesota,Big Ten,8-4,0,RV,L 31-17 A #5 Wisconsin,Week 13Nov 27[14],2016,0.0,NR
636,NR,<,NR,North Carolina,ACC,8-4,0,RV,L 28-21 H NC State,Week 13Nov 27[14],2016,0.0,NR
637,NR,<,NR,San Diego State,MWC,9-3,0,RV,L 63-31 H Colorado State,Week 13Nov 27[14],2016,-2.0,NR
638,NR,<,NR,Western Kentucky,CUSA,9-3,0,RV,W 60-6 A Marshall,Week 13Nov 27[14],2016,0.0,NR
639,NR,<,NR,Wyoming,MWC,8-4,0,RV,L 56-35 A New Mexico,Week 13Nov 27[14],2016,0.0,NR
640,1,<,1,Alabama (61),SEC,13-0,1525,*1,W 54-16 N #15 Florida (SEC CG),Week 14Dec 4[15],2016,0.0,1
641,2,<,2,Ohio State,Big Ten,11-1,1444,2,DNP,Week 14Dec 4[15],2016,0.0,3
642,3,<,3,Clemson,ACC,12-1,1396,3,W 42-35 N #19 Virginia Tech (ACC CG),Week 14Dec 4[15],2016,1.0,2
643,4,<,4,Washington,Pac-12,12-1,1329,4,W 41-10 N #9 Colorado (Pac-12 CG),Week 14Dec 4[15],2016,2.0,4
644,5,<,8,Penn State,Big Ten,11-2,1252,5,W 38-31 N #6 Wisconsin (Big Ten CG),Week 14Dec 4[15],2016,3.0,5
645,6,<,5,Michigan,Big Ten,10-2,1249,6,DNP,Week 14Dec 4[15],2016,-3.0,6
646,7,<,7,Oklahoma,Big 12,10-2,1173,7,W 38-20 H #11 Oklahoma State,Week 14Dec 4[15],2016,0.0,7
647,8,<,6,Wisconsin,Big Ten,10-3,1054,8,L 38-31 N #8 Penn State (Big Ten CG),Week 14Dec 4[15],2016,-3.0,8
648,9,<,10,USC,Pac-12,9-3,1040,9,DNP,Week 14Dec 4[15],2016,3.0,9
649,10,<,12,Florida State,ACC,9-3,889,10,DNP,Week 14Dec 4[15],2016,5.0,11
650,11,<,9,Colorado,Pac-12,10-3,886,11,L 41-10 N #4 Washington (Pac-12 CG),Week 14Dec 4[15],2016,-2.0,10
651,12,<,13,Western Michigan,MAC,13-0,871,14,W 29-23 N Ohio (MAC CG),Week 14Dec 4[15],2016,2.0,15
652,13,<,11,Oklahoma State,Big 12,9-3,800,13,L 38-20 A #7 Oklahoma,Week 14Dec 4[15],2016,-3.0,12
653,14,<,14,West Virginia,Big 12,10-2,788,12,W 24-21 H Baylor,Week 14Dec 4[15],2016,5.0,16
654,15,<,16,Louisville,ACC,9-3,542,15,DNP,Week 14Dec 4[15],2016,-4.0,13
655,16,<,17,Stanford,Pac-12,9-3,508,16,DNP,Week 14Dec 4[15],2016,10.0,18
656,17,<,18,Auburn,SEC,8-4,493,17,DNP,Week 14Dec 4[15],2016,-1.0,14
657,18,<,19,Virginia Tech,ACC,9-4,372,19,L 42-35 N #3 Clemson (ACC CG),Week 14Dec 4[15],2016,8.0,22
658,19,<,21,LSU,SEC,7-4,351,20,DNP,Week 14Dec 4[15],2016,6.0,20
659,20,<,15,Florida,SEC,8-4,331,18,L 54-16 N #1 Alabama (SEC CG),Week 14Dec 4[15],2016,-7.0,17
660,21,<,22,Iowa,Big Ten,8-4,272,25,DNP,Week 14Dec 4[15],2016,5.0,NR
661,22,<,24,Pittsburgh,ACC,8-4,237,RV,DNP,Week 14Dec 4[15],2016,4.0,23
662,23,<,NR,Temple,AAC,10-3,229,24,W 34-10 A #20 Navy (AAC CG),Week 14Dec 4[15],2016,3.0,24
663,24,<,23,Nebraska,Big Ten,9-3,196,21,DNP,Week 14Dec 4[15],2016,-7.0,NR
664,25,<,24,South Florida,AAC,10-2,173,22,DNP,Week 14Dec 4[15],2016,1.0,NR
665,RV,<,NR,Houston,AAC,9-3,101,RV,DNP,Week 14Dec 4[15],2016,-8.0,NR
666,RV,<,NR,Utah,Pac-12,8-4,99,23,DNP,Week 14Dec 4[15],2016,-5.0,19
667,RV,<,NR,Boise State,MWC,10-2,95,RV,DNP,Week 14Dec 4[15],2016,-6.0,NR
668,RV,<,NR,Washington State,Pac-12,8-4,31,RV,DNP,Week 14Dec 4[15],2016,-3.0,NR
669,RV,<,NR,Texas A&M,SEC,8-4,26,RV,DNP,Week 14Dec 4[15],2016,-4.0,NR
670,RV,<,NR,Air Force,MWC,9-3,20,NR,DNP,Week 14Dec 4[15],2016,0.0,NR
671,RV,<,20,Navy,AAC,9-3,15,RV,L 34-10 H Temple (AAC CG),Week 14Dec 4[15],2016,0.0,25
672,RV,<,NR,Tennessee,SEC,8-4,12,RV,DNP,Week 14Dec 4[15],2016,-2.0,21
673,RV,<,NR,San Diego State,MWC,10-3,8,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
674,RV,<,NR,Western Kentucky,CUSA,10-3,7,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
675,RV,<,NR,Miami (FL),ACC,8-4,6,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
676,RV,<,NR,Georgia Tech,ACC,8-4,3,NR,DNP,Week 14Dec 4[15],2016,0.0,NR
677,RV,<,NR,Kansas State,Big 12,8-4,2,NR,DNP,Week 14Dec 4[15],2016,0.0,NR
678,NR,<,NR,Appalachian State,Sun Belt,9-3,0,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
679,NR,<,NR,Kentucky,SEC,7-5,0,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
680,NR,<,NR,North Carolina,ACC,8-4,0,RV,DNP,Week 14Dec 4[15],2016,0.0,NR
681,1,<,3,Clemson (60),ACC,14-1,1500,*1,W 35-31 N #1 Alabama (CFP Final),Week 15 (Final)Jan 10,2016,,
682,2,<,1,Alabama,SEC,14-1,1440,2,L 35-31 N #3 Clemson (CFP Final),Week 15 (Final)Jan 10,2016,,
683,3,<,9,USC,Pac-12,10-3,1292,5,W 52-49 N #5 Penn State (Rose),Week 15 (Final)Jan 10,2016,,
684,4,<,4,Washington,Pac-12,12-2,1277,4,L 24-7 N #1 Alabama (CFP Semi/Peach),Week 15 (Final)Jan 10,2016,,
685,5,<,7,Oklahoma,Big 12,11-2,1252,3,W 35-19 N #17 Auburn (Sugar),Week 15 (Final)Jan 10,2016,,
686,6,<,2,Ohio State,Big Ten,11-2,1240,6,L 31-0 N #3 Clemson (CFP Semi/Fiesta),Week 15 (Final)Jan 10,2016,,
687,7,<,5,Penn State,Big Ten,11-3,1130,7,L 52-49 N #9 USC (Rose),Week 15 (Final)Jan 10,2016,,
688,8,<,10,Florida State,ACC,10-3,1105,8,W 33-32 N #6 Michigan (Orange),Week 15 (Final)Jan 10,2016,,
689,9,<,8,Wisconsin,Big Ten,11-3,1032,9,W 24-16 N #12 Western Michigan (Cotton),Week 15 (Final)Jan 10,2016,,
690,10,<,6,Michigan,Big Ten,10-3,1001,10,L 33-32 N #10 Florida State (Orange),Week 15 (Final)Jan 10,2016,,
